# N9040B Phase Noise Log Plot export
# timestamp=20260311_145411
# carrier_freq_Hz=55000000.0
# start_offset_Hz_req=1.0
# stop_offset_Hz_req=100000000.0
# signal_tracking=False
# tracking_span_Hz=None
# auto_tune=False
# avg_enable=False
# avg_count=1
# avg_mode=REPeat
# smooth=4.0
# method=PN
# export_trace=smoothed
# compute_frequency_noise=True
# self_heterodyne_delay_freq_Hz=200000.0
# self_heterodyne_tau_s=5e-06
# self_heterodyne_zero_mask_Hz=0.0
# self_heterodyne_h2_epsilon=1e-12
# scalar_carrier_power_dBm=-0.96
# scalar_carrier_frequency_Hz=55000000.0
# scalar_rms_phase_noise_deg=197.6650987
# scalar_rms_phase_noise_rad=3.449906788
# scalar_residual_FM_Hz=744385.8515
# scalar_spot_noise_start_dBc_per_Hz=-0.2
# scalar_spot_noise_stop_dBc_per_Hz=-121.48
offset_Hz,phase_noise_dBc_per_Hz,phase_noise_raw_dBc_per_Hz,phase_noise_smoothed_dBc_per_Hz,freq_noise_psd_Hz2_per_Hz,freq_noise_asd_Hz_per_sqrtHz
5089.401,-60.56,-65.59,-60.56,892.5358165293655,29.875337931634608
5248.0746,-61.4,-67.28,-61.4,735.6720704092587,27.123275436592436
5411.6953,-62.36,-64.71,-62.36,589.8568099384743,24.286967903352494
5580.4172,-63.29,-61.87,-63.29,476.22575176105244,21.822597273492732
5754.3994,-63.83,-64.32,-63.83,420.61364146899854,20.50886738630387
5933.8059,-64.69,-64.0,-64.69,345.11059866387524,18.577152598390185
6118.8058,-65.56,-67.52,-65.56,282.5127087159074,16.80811437121688
6309.5734,-66.2,-67.93,-66.2,243.84998376625362,15.615696710882087
6506.2887,-66.66,-68.53,-66.66,219.38798683782528,14.811751646507759
6709.1371,-67.14,-68.74,-67.14,196.47561891747551,14.016976097485346
6918.3097,-67.63,-70.41,-67.63,175.55393188029944,13.249676670783307
7134.0038,-68.11,-70.26,-68.11,157.22402639262822,12.538900525669234
7356.4225,-68.44,-71.36,-68.44,145.7585820454997,12.073051894425854
7585.7758,-68.68,-71.04,-68.68,137.96110331169137,11.74568445479834
7822.2796,-68.95,-72.14,-68.95,129.68416483585062,11.387895540258992
8066.1569,-69.42,-66.55,-69.42,116.41943830689081,10.789783978694421
8317.6377,-69.88,-70.7,-69.88,104.75453498348337,10.234966291272451
8576.959,-70.03,-66.48,-70.03,101.23472516399819,10.061546857417014
8844.3652,-70.09,-68.09,-70.09,99.88404395068498,9.99420051583342
9120.1084,-70.33,-68.78,-70.33,94.55255978161313,9.723814055277545
9404.4485,-70.39,-70.11,-70.39,93.29571560548106,9.658970732199217
9697.6536,-70.55,-69.77,-70.55,89.96261252881068,9.48486228307036
10000.0,-70.65,-70.39,-70.65,87.95795548359624,9.378590271655769
10311.7727,-70.77,-73.07,-70.77,85.60550798659705,9.252324463971043
10633.2657,-70.89,-72.78,-70.89,83.31873474568059,9.127909659154202
10964.782,-70.95,-70.95,-70.95,82.22405904192564,9.067748289510778
11306.634,-70.93,-72.71,-70.93,82.65543550244558,9.091503478657728
11659.144,-70.94,-75.01,-70.94,82.52038000560755,9.084072875401626
12022.6443,-70.93,-67.45,-70.93,82.76932521400177,9.097764847147994
12397.4776,-71.12,-68.79,-71.12,79.28612174951878,8.904275475832875
12783.9972,-71.38,-73.48,-71.38,74.73873550842474,8.64515676598318
13182.5674,-71.54,-70.02,-71.54,72.09687683589729,8.490987977608807
